epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.8746923208236694,"""[tensor(0.8742, device='cuda:0'), tensor(0.8752, device='cuda:0')]""",0.2720493674278259,0.8746923208236694,0.8746923208236694,0.929548442363739,"""[tensor(0.9312, device='cuda:0'), tensor(0.9279, device='cuda:0')]""",0.17118941247463226,0.929548442363739,0.929548442363739
1,0.9463494420051575,"""[tensor(0.9473, device='cuda:0'), tensor(0.9454, device='cuda:0')]""",0.13604719936847687,0.9463494420051575,0.9463494420051575,0.9550074934959412,"""[tensor(0.9562, device='cuda:0'), tensor(0.9537, device='cuda:0')]""",0.11716978251934052,0.9550074934959412,0.9550074934959412
2,0.9633929133415222,"""[tensor(0.9641, device='cuda:0'), tensor(0.9626, device='cuda:0')]""",0.09676957875490189,0.9633929133415222,0.9633929133415222,0.9623181223869324,"""[tensor(0.9630, device='cuda:0'), tensor(0.9616, device='cuda:0')]""",0.09968475997447968,0.9623181223869324,0.9623181223869324
3,0.971350371837616,"""[tensor(0.9720, device='cuda:0'), tensor(0.9707, device='cuda:0')]""",0.0767153799533844,0.971350371837616,0.971350371837616,0.9701995253562927,"""[tensor(0.9710, device='cuda:0'), tensor(0.9694, device='cuda:0')]""",0.08368867635726929,0.9701995253562927,0.9701995253562927
4,0.9757458567619324,"""[tensor(0.9763, device='cuda:0'), tensor(0.9752, device='cuda:0')]""",0.06564482301473618,0.9757458567619324,0.9757458567619324,0.9708792567253113,"""[tensor(0.9718, device='cuda:0'), tensor(0.9699, device='cuda:0')]""",0.08161146938800812,0.9708792567253113,0.9708792567253113
5,0.9787089228630066,"""[tensor(0.9792, device='cuda:0'), tensor(0.9782, device='cuda:0')]""",0.05833011120557785,0.9787089228630066,0.9787089228630066,0.9743550419807434,"""[tensor(0.9749, device='cuda:0'), tensor(0.9738, device='cuda:0')]""",0.0750495120882988,0.9743550419807434,0.9743550419807434
6,0.9807716012001038,"""[tensor(0.9812, device='cuda:0'), tensor(0.9803, device='cuda:0')]""",0.053198665380477905,0.9807716012001038,0.9807716012001038,0.974335789680481,"""[tensor(0.9749, device='cuda:0'), tensor(0.9737, device='cuda:0')]""",0.07572773844003677,0.974335789680481,0.974335789680481
7,0.9820384979248047,"""[tensor(0.9824, device='cuda:0'), tensor(0.9816, device='cuda:0')]""",0.04949650913476944,0.9820384979248047,0.9820384979248047,0.9759902954101562,"""[tensor(0.9767, device='cuda:0'), tensor(0.9753, device='cuda:0')]""",0.07428658753633499,0.9759902954101562,0.9759902954101562
8,0.9832611680030823,"""[tensor(0.9836, device='cuda:0'), tensor(0.9829, device='cuda:0')]""",0.046627845615148544,0.9832611680030823,0.9832611680030823,0.9767213463783264,"""[tensor(0.9773, device='cuda:0'), tensor(0.9761, device='cuda:0')]""",0.07114699482917786,0.9767213463783264,0.9767213463783264
9,0.9842000603675842,"""[tensor(0.9846, device='cuda:0'), tensor(0.9838, device='cuda:0')]""",0.04444066807627678,0.9842000603675842,0.9842000603675842,0.9775294065475464,"""[tensor(0.9782, device='cuda:0'), tensor(0.9769, device='cuda:0')]""",0.07531169801950455,0.9775294065475464,0.9775294065475464
10,0.9845320582389832,"""[tensor(0.9849, device='cuda:0'), tensor(0.9842, device='cuda:0')]""",0.04348289966583252,0.9845320582389832,0.9845320582389832,0.9774460196495056,"""[tensor(0.9780, device='cuda:0'), tensor(0.9768, device='cuda:0')]""",0.06862976402044296,0.9774460196495056,0.9774460196495056
11,0.9854758381843567,"""[tensor(0.9858, device='cuda:0'), tensor(0.9851, device='cuda:0')]""",0.040871307253837585,0.9854758381843567,0.9854758381843567,0.9775935411453247,"""[tensor(0.9780, device='cuda:0'), tensor(0.9771, device='cuda:0')]""",0.07373618334531784,0.9775935411453247,0.9775935411453247
12,0.9855851531028748,"""[tensor(0.9859, device='cuda:0'), tensor(0.9852, device='cuda:0')]""",0.04107403755187988,0.9855851531028748,0.9855851531028748,0.9786580204963684,"""[tensor(0.9791, device='cuda:0'), tensor(0.9782, device='cuda:0')]""",0.06893687695264816,0.9786580204963684,0.9786580204963684
13,0.9857812523841858,"""[tensor(0.9861, device='cuda:0'), tensor(0.9854, device='cuda:0')]""",0.04135710000991821,0.9857812523841858,0.9857812523841858,0.9771061539649963,"""[tensor(0.9777, device='cuda:0'), tensor(0.9764, device='cuda:0')]""",0.07987865805625916,0.9771061539649963,0.9771061539649963
14,0.9865939617156982,"""[tensor(0.9869, device='cuda:0'), tensor(0.9863, device='cuda:0')]""",0.038583073765039444,0.9865939617156982,0.9865939617156982,0.9793826937675476,"""[tensor(0.9799, device='cuda:0'), tensor(0.9788, device='cuda:0')]""",0.0704314336180687,0.9793826937675476,0.9793826937675476
15,0.9862732291221619,"""[tensor(0.9866, device='cuda:0'), tensor(0.9859, device='cuda:0')]""",0.04211977869272232,0.9862732291221619,0.9862732291221619,0.978279709815979,"""[tensor(0.9788, device='cuda:0'), tensor(0.9777, device='cuda:0')]""",0.07059402763843536,0.978279709815979,0.978279709815979
16,0.9867603778839111,"""[tensor(0.9871, device='cuda:0'), tensor(0.9864, device='cuda:0')]""",0.03801168128848076,0.9867603778839111,0.9867603778839111,0.978087306022644,"""[tensor(0.9785, device='cuda:0'), tensor(0.9776, device='cuda:0')]""",0.07263335585594177,0.978087306022644,0.978087306022644
17,0.9866293668746948,"""[tensor(0.9869, device='cuda:0'), tensor(0.9863, device='cuda:0')]""",0.03888475149869919,0.9866293668746948,0.9866293668746948,0.9774011373519897,"""[tensor(0.9780, device='cuda:0'), tensor(0.9767, device='cuda:0')]""",0.07736996561288834,0.9774011373519897,0.9774011373519897
18,0.9867185950279236,"""[tensor(0.9870, device='cuda:0'), tensor(0.9864, device='cuda:0')]""",0.038651954382658005,0.9867185950279236,0.9867185950279236,0.9800560474395752,"""[tensor(0.9806, device='cuda:0'), tensor(0.9795, device='cuda:0')]""",0.07011005282402039,0.9800560474395752,0.9800560474395752
19,0.987150251865387,"""[tensor(0.9874, device='cuda:0'), tensor(0.9868, device='cuda:0')]""",0.0389498732984066,0.987150251865387,0.987150251865387,0.9787478446960449,"""[tensor(0.9794, device='cuda:0'), tensor(0.9781, device='cuda:0')]""",0.07554344832897186,0.9787478446960449,0.9787478446960449
